id,ROE,ROA,îÑè„çÇèÉóòâvó¶,âcã∆óòâvîÑè„çÇî‰ó¶,ëçéëéYâÒì]ó¶,CFîÑè„çÇî‰ó¶,EBITDAîÑè„çÇî‰ó¶,ICR,ïâç¬î‰ó¶,DEÉåÉVÉI,ó¨ìÆî‰ó¶,å≈íËî‰ó¶,îÑè„çÇêLÇ—ó¶,âcã∆óòâvêLÇ—ó¶,ÉgÅ[ÉrÉìÇÃQ
6330,-29.61574352,-6.201369165,0.726740527,0.795782675,0.971337457,2.834324016,1.743673833,1.742519685,18.11143134,103.7375858,1.337120424,17.35986136,6.61976421,-67.03411292,0.931483229
4970,10.26539406,3.856453394,8.480537954,10.61425061,0.61460817,17.31540153,19.39997414,19.26760563,43.20014524,108.6786678,1.138983532,151.8344005,20.99449243,16.82322801,1.26190817
6369,9.559919798,5.422705666,6.01746205,6.834342031,0.880338894,5.162549195,8.244865562,35.02542373,20.39164795,26.24029613,1.968322464,46.2392679,12.43237213,33.71077321,0.845455525
9306,5.964033713,3.270757159,5.123506802,4.252754799,0.607282167,9.591610345,9.266224845,20.02605637,31.24865435,56.92520432,1.500058898,92.81840296,4.702949537,9.870154701,0.68379058
5901,6.824904906,3.788235,2.427600172,3.589422839,0.774442904,8.984126021,9.665957013,7.773004695,19.2458483,31.96685303,2.10402093,52.53707444,-2.960775795,-2.183032022,0.745488277
5936,8.043781192,4.014957713,3.797765234,6.234298257,1.052554419,5.756819601,8.198666193,10.33467034,24.3576993,45.67343724,1.902946818,59.17035929,-2.868718222,-12.11995548,0.772890468
2875,13.3069544,10.7620786,12.38514578,14.86918834,0.870689862,15.7537431,18.17100079,371.8029557,0.571617774,0.676860796,5.003015007,38.15503998,3.800921448,13.43292555,1.642835911
5310,5.605645649,4.634655178,11.83182143,14.60304401,0.39972134,16.67713092,24.02736582,103.7692308,5.319888734,6.434440102,4.30576424,49.33891334,-13.00359746,-44.8216623,1.029962695
9686,11.08375176,6.210054611,1.983398281,3.003954925,0.936696493,6.367743183,7.306679348,16.31368372,24.38040284,37.93233522,1.950188309,62.19837445,11.76216692,8.560835512,0.798984755
5105,12.17122445,8.445292918,10.69281235,16.36363025,0.806175699,17.50730767,22.34003392,96.67428004,12.25984005,17.66869029,2.801271642,53.70250967,5.229429848,3.585831179,1.192378011
9351,5.290482981,2.837811336,3.205128205,3.290598291,0.706059844,9.182336182,9.49002849,7.21875,31.52775054,58.1514387,0.929612697,104.4861248,1.161483702,17.85714286,0.648953047
3101,4.663307938,1.474265902,0.47460856,3.945909315,0.689150539,6.75162073,9.32417447,7.631989001,43.35876232,132.6349635,1.668506737,151.8176047,1.874886848,85.13618677,0.75884331
7282,8.838147892,5.25256862,3.428200468,6.46679839,1.147970143,8.64457189,11.4913408,25.05850091,13.51563296,23.37249482,2.359249388,62.33457729,-1.055823555,-6.473887471,0.729303215
4058,26.86788718,16.600428,22.35487855,33.07945657,0.867112896,32.87361054,38.20502264,1607,0,0,2.02359882,1.261751608,54.41830896,38.17712812,4.986101865
3116,3.814536677,1.55887073,0.855534029,3.69841031,1.757926202,6.003987273,6.564569562,37.78097229,18.00670606,43.73876894,1.725713121,70.90004917,0.030353829,-20.60571441,0.876839491
6201,4.096531358,2.136676833,6.42139602,5.516986113,0.398886375,11.29120702,13.44982012,16.26735961,20.44769378,37.34555077,1.91669646,31.3441676,6.568367724,-7.101518574,0.873880948
7203,10.2870007,3.948219764,9.919675172,9.983170369,0.522946249,13.55730818,14.66965552,25.14582798,41.44478579,117.266208,1.259713218,44.30574401,6.522580777,-10.4120263,0.97069581
8015,14.16105367,5.265688997,3.516215548,4.891872099,1.460539349,5.444330742,6.3719173,8.030988248,28.29585196,89.73359428,1.659782634,45.15777352,1.183337292,7.60807642,0.983836076
6463,5.168424864,2.886431169,4.606377342,5.82615562,0.661618731,11.8637464,12.09440294,33.47761194,13.24461322,16.24046493,2.337595948,42.46123068,-0.691313186,-10.4733775,0.58288642
6696,-17.56346248,-10.92193052,-12.68320088,-7.438747834,0.87812168,0.30188788,0.655428014,-29.67816092,26.87730926,43.22116974,4.799517148,3.33327634,18.09269682,-784.6212121,3.739737979
3997,3.189465032,1.416527516,1.125947014,5.142012066,1.460025597,8.672372932,9.122391517,23.52603459,26.89280775,60.55206765,1.474269706,21.95296986,10.03880193,,5.023445488
8704,19.91729841,2.760223492,33.85463211,49.40422997,0.109908819,50.12660113,52.17456062,737.1111111,0.896197132,7.000918907,1.148595686,1.09120147,32.92417343,50.36264733,1.055981202
9365,8.110590141,3.442384789,1.607410723,1.522039631,1.548619526,3.1518279,2.496330983,3.998374523,35.07117331,110.1208802,0.968447602,68.94084402,10.91627236,26.78700108,0.742558316
3358,4.267530113,3.277293869,1.263540255,2.339569766,0.70805334,4.88890776,3.08420246,8540.5,0.158804783,24.42805306,2.252200087,82.20911319,2.651161254,-3.204601479,1.594721358
2342,-16.16648585,-8.031827175,-8.378557809,-1.959527343,1.339229663,-1.224071185,-0.49495868,-6.961482777,26.8615984,60.58064409,2.0472923,43.14813559,-0.598710219,-346.8843851,0.811332188
7818,21.5080336,17.77111779,14.85569829,20.78566659,1.190553046,15.00907427,21.65220607,2485.358449,1.826215973,2.428456385,4.526644824,8.990561377,9.607106534,9.04240215,3.111811817
5258,-5.050552832,-1.893015412,-5.547915989,-4.101887636,0.467930865,10.68545786,12.02667127,-18.24421464,6.063700499,79.68852582,1.14758466,20.87334239,18.6179778,-164.9336844,1.063341122
9715,11.94393406,6.813504885,3.015040615,3.726762609,1.844974597,4.865783865,5.419463668,237.4067797,8.414589584,12.35524164,2.493920728,12.72609275,3.768073528,22.63176326,0.954167193
