FREQ,Frequency,L_MEASURE,Measure,L_POSITION,Balance sheet position,L_INSTR,Type of instruments,L_DENOM,Currency denomination,L_CURR_TYPE,Currency type of reporting country,L_PARENT_CTY,Parent country,L_REP_BANK_TYPE,Type of reporting institutions,L_REP_CTY,Reporting country,L_CP_SECTOR,Counterparty sector,L_CP_COUNTRY,Counterparty country,L_POS_TYPE,Position type,TIME_FORMAT,Time Format,COLLECTION,Collection Indicator,ORG_VISIBILITY,Organisation visibility,Series,1977-Q4,1978-Q1,1978-Q2,1978-Q3,1978-Q4,1979-Q1,1979-Q2,1979-Q3,1979-Q4,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",GG,Guernsey,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:GG:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,65,253,62,41,85,208,98,141,205,119,237,135,93,177,194,220,110,76,106,30,25,17,9,94,29,12,25,20,18,118,26,12,279,40,74,56,34,85,33,41,30,93,39,39,135,43,51,168,24,33.254,35.835,32.517,57.513,38.814,34.778,47.745,42.515,20.348,22.774,22.16,26.724,30.219,32.904,28.321,43.379,27.767,21.831,23.464,28.205,32.332,21.08,25.421,31.606,39.214,26.111,27.486,24.927,30.281,28.956,33.428,21.425,22.658,28.229,22.185,21.893
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",GR,Greece,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:GR:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,16,39,24,124,104,78,27,14,19,19,39,16,20,47,21,22,30,53,32,28,140,42,40,32,42,37,59,11,50,57,92,95,70,101,37,36,42.819,44.649,61.989,36.128,41.098,25.348,21.126,21.295,24.186,20.669,25.902,32.618,29.532,21.683,33.45,48.362,45,28.141,34.665,28.39,35,34,40,33,36,44,39,32,42,37,26,0,,,,
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",HK,Hong Kong SAR,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:HK:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69539.939,84182.733,86930.53,76441.835,93817.56,105260.592,92958.69,107321.212,107808.228,104363.835,110615.858,118573.496,125334.912,122916.805,127512.745,119970.107,113065.356,107852.847,108382.36,109211.681,116506.869,105660.863,104369.477,117820.035,116876.563,118110.482,124288.915,122745.024,116980.637,107782.403,121984.834,132044.962,137089.395,143137.744
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",IE,Ireland,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:IE:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,539,644,628,763,983,869,926,923,1094,977,1175,1184,839,213,472,471,468,553,312,499,692,2109,2283,816,859,682,589,973,950,662,393,555,542,903,1678,2392,1781,5804,4166,2719,3441,1995,3084,5803,10512,6482,4983,4520,5481,4501,9689,10536,5582,4897,5365,5759,5425,5280,4964,1194,18,19,18,16,7,3,2,314.345,284.369,226.91,109.525,376.484,315.871,292.969,425.119,180.367,504.139,597.245,624.8,828.338,1881.435,1926.864,631.835,2108.888,1328.088,2811.755,2711.776,1728.064,2978.426,1829.116,792.091,903.581,1113.805,3031.2,2576.61,2106.584,1436.815,288.561,393.222,205.545,249.386,373.752,303.309,173.191,282.212,108.114,70.55,145.499,149.993
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",IM,Isle of Man,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:IM:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,9,9,25,44,3,50,909,78,6,6,32,7,8,6,5,5,6,106,6,4,25,24,11,10,159,147,148,134,85,88,8,6,6,5,7,7,5,6,6,6,5,5,5,4,4,4,3,3.874,3.772,3.675,3.434,5.851,27.544,26.59,23.322,22.516,22.621,23.357,20.984,19.079,19.98,20.451,20.475,69.358,119.145,54.552,43.09,26.377,41.055,135.379,54.693,54.693,54.693,54.693,54.693,54.693,44.731,58.276,67.042,45.984,214.386,33.872,50.041,25.026,172.311
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",IT,Italy,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:IT:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,348.236,237.364,342.389,608.478,265.746,495.322,316.196,305.023,271.928,298.264,282.053,247.691,321.911,378.158,365.627,228.574,248.173,449.908,404.184,326.536,308.073,292.716,270.887,285.184,453.609,312.376,309.024,533.602,256.683,305.703,337.187,218.025,292.977,220.973
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",JE,Jersey,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:JE:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,417,458,1109,885,599,627,595,322,381,273,869,154,139,686,136,108,3430,2582,4750,2100,63,87,100,258,147,160,116,212,93,92,60,83,60,116,237,592,354,377,386,355,244,336,242,387,259,149,244,193,114,134,84,81,47,41,34,27,36,52,55,45,25,29,59,33,38,156,75,76,121,66,231,83,140,140,71,86,76,64,63,73,58,55,51,54,58
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",KR,Korea,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:KR:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706,1866,1757,1789,1889,2184,1798,1502,1586,1492,1631,1725,2368,2334,1858,2630,2297,2133,2321,1803,2009,2134,2190,2173,2329,2052,2294,2806,2654,2294,2656,2646,2404,2466,3643,2911.188,2675.213,2906.626,2564.663,4547.059,4027.71,3723.174,4768.273,4177.713,4347.427,4628.703,5156.728,4991.342,5038.97,5350.554,4987.015,6245.04,5855.644,3899.226,4969.188,5379.926,4727.746,4422.573,5395.936,6263.037,3402.931,3911.741,3122.644,6290.343,6770.381,5760.468,5624.952,7086.222,5722.795,6780.052,7969.345,9738.554,7809.666
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU,Luxembourg,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:LU:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7624,7910,10172,8367,8394,10372,9199,8654,7019,6801,5379,5379,3075,1627,1565,1156,876,1201,1816,696,521,795,897,1513,1487,1167,2386,2345,2107,2392,4472,5921,6124,9358,12909,8694,9255,8436,7447,7638,8407,8945,6604,10603,6110,4936,3055,3731,1814,1797,4670,5445,4254,2946,5247,5731,6986,1097,4608,3829,2925,4759,3102,2424,1780,2981,1635.015,1777.206,1362.435,2787.023,2636.626,4032.562,2978.077,6077.7,3654.178,4834.898,2967.416,4347.389,4193.988,4366.41,2921.165,3210.009,3936.994,2690.804,3719.595,4010.555,4442.324,6307.953,4347.849,4452.064,5614.341,7086.47,5224.122,5955.174,5757.628,5399.674,5105.288,6603.566,5172.168,5264.365,3319.308,5249.885,4563.896,5327.06,3720.921,7097.085,5373.775,4196.392,5365.745,5376.038
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MO,Macao SAR,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:MO:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,878.507,773.806,560.354,439.146,481.744,667.658,708.687,2668.582,3067.896,3344.516,3305.278,2788.539,2031.814,3961.388,1251.057,334.545,1580.686,1532.648,1625.44,713.66,1659.329,2065.173,2213.746,666.35,3935.203,3703.464,1837.459,3209.773,1211.611,1076.106,1845.963,2137.274,1514.484,1329.197,1340.489,1342.318,1157.853,1198.851
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX,Mexico,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:MX:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,18,,1,1,10,89,66,342,476,313,190,55,157,220,185,235,333,200,103,16,206,2,303,145,84,35,69,131,68,49,46,65,29.013,75.441,48.236,55.54,64.96,43.716,176.297,101.369,132.461,142.584,77.397,140.877,59.873,37.934,97.892,147.722,61.666,118.917,104.304,323.151,460.336,330.162,399.295,24.926,171.557,57.147,136.727,55.361,41.834,36.91,46.172,35.316,41.633,114.386,42.483,45.608,149.846,118.331,114.704,322.169,217.4,385.878,143.636,1030.523
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL,Netherlands,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:NL:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19966,20343,19772,23070,16227,18274,18395,16221,16638,23015,28018,18204,17593,10144,7970,8813,8299,6046,6189,4646,5213,7066,8124,8869,19074,9560,18281,15889,13100,13445,13364,14431,14632,13428,16194,13362,14169,15675,16045,14401,12589,4564,3909,4705,5078,4503,4518,9625,11116,7386,8801,11712,8555,11101,8573,8424,4064,7993,3708,16839,14268,20465,12085,22958,10865,15606,10190.346,10016.871,3311.694,1978.373,4182.984,6052.941,3341.559,5038.135,4735.229,3381.052,2340.785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1428.782,1339.981,NaN,NaN,NaN,NaN,2192.675,2420.02,NaN,NaN,NaN,NaN,2231.761,NaN,3210.094,NaN,3906.271,2599.486,2564.206,2564.206,2564.206,2564.206,2564.206,2564.206
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",PH,Philippines,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:PH:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507.406,2322.027,2136.706,2588.949,1673.646,1891.632,1201.508,1918.641,1555.805,1762.853,2570.096,2640.491,1653.557,2537.536,2324.687,2308.229,2352.601,2149.28,2370.08,2476.421,2685.305,3134.049,2789.058,2223.248,2635.833,2966.03
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",SE,Sweden,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:SE:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,765,823,1375,1444,1346,1158,1208,1562,949,922,1056,2302,509,1012,423,555,600,1933,129,41,62,103,297,386,49,80,203,86,172,108,81,91,225,95,100,144,92,115,111,104,115,96,112,153,345,216,171,30,190,95,247,157,157,157,35,140,364,481,591,1057,667,865,899,999,787,1225.244,1216.774,1509.177,1728.13,1674.439,1846.6,1564.171,1552.623,1494.388,1706.574,1187.542,1032.008,769.133,659.87,531.091,581.062,475.112,554.195,408.379,364.801,245.164,233.813,91.72,346.164,233.13,443.457,496.445,481.574,477.392,429.404,452.172,630.468,324.224,343.41,504.867,516.368,608.353,486.833,370.171,325.505,340.153,375.48,298.616,248.871
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",TW,Chinese Taipei,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:TW:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3566,2718,3499,4142,4067,4283,2857,2104,2544,3110,2730,2214,3278,2527,2277,2233,2609,2503,2315,2088,3448,3016,3226,5155,6574,5723,6666,5226,3476,5257,4639,4547,3395,3150,3583,3735,4112,3567,3286,3575,2935,2570,2454,2623,3379,3528,3445,3978,4495,4921,4743,6531,4956.732,4313.971,4447.273,4546.808,5393.921,6405.462,7993.638,7295.712,9541.337,11467.632,15669.864,13932.851,15073.733,14715.646,13983.326,11556.313,13884.025,14516.739,10280.975,11429.18,9107.753,16007.648,12415.577,13999.393,16122.261,14765.424,10664.034,13500.975,17539.401,15467.873,18480.863,19669.176,21156.923,18165.911,20409.326,23378.861,31495.885,28313.308
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",US,United States,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:US:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86027,74962,73406,70060,76467,75040,75785,69593,76233,61768,45745,54760,52050,45534,29892,32341,32513,31670,35786,37543,36742,41037,34428,34723,36617,36817,40333,47192,50515,64400,70086,67012,71150,64892,75337,85965,97844,85117,89881,87460,106643,109032,109195,129774,147780,130014,123395,101032,92782,117834,88404,81446,86292,130751,163222,184530,169049,178045,201852,239971,257570,256574,247306,259708,300731,308638,318794,348585,352688,343903,304075,324347,342655,338528,349254,369647,364949,372792,386318,403088,422776,420749,455204,439506,447343,410190,438153,453566,431754,362178,358261,366393,366199,360776,346771,371897,436688,451175,486772,531302,521516,469378,470367,462368,483618,441849,409524,411350,447702,372580
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",ZA,South Africa,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:A:5J:A:ZA:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,25,95,374,51,31,913,94,52,136,56,57,107,122,128,186,257,193,163,107,129,119,212,130,151,211,110,169,308,132,254,95,139,244,260,53,27,73,26,27,100,45,25,23,29,33,28,21,32,31,222,26,17,232
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,U,Unclassified currency,5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A,All reporting countries,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO1:U:5J:A:5A:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27,-33,-11,-25,-25,-26,-26,-25,-40,-43,-18,-24,-34,-27,-9,-9,-11,-5,-5,-4,-1,,-1,-2,-1,,,,,,,,,,,,,,,,,,,,,,,,-7,,,,1,1,,,0,-1,,0,,-1,-1,,0,-1,1.997,-1.001,-0.001,-1.001,0.997,-1.998,-0.999,1.003,0.003,2.003,1.002,0,-0.998,0,0,0.001,1,0,1.993,-0.001,1.003,0.004,0.007,2.003,1.992,2.003,0.002,0.998,1.002,-0.994,0.001,1.016,1.013,0.002,-1.001,0.005,2.001,-1.006,1.994,1.008,2.001,2.004,1.01,0.002
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO3,All currencies excl. core,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A,All reporting countries,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:TO3:A:5J:A:5A:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14567,16955,16403,17161,18479,20745,21652,23368,23431,18304,17630,17679,7806,11353,14812,15674,15157,14879,16205,13520,13450,11299,12029,10982,10628,10437,10469,8011,8301,10001,10567,7672,12900,15823,18007,16564,21541,19358,18839,20229,20728,19550,22600,19038,17357,19380,18895,19919,20649,27577,22726,22276,21919,19407,24747,23172,23738,22512,21978,23060,25064,22388.856,22089,21591,23785,20105.077,25988.618,26618.738,31199.457,27644.146,22634.781,25593.059,19637.677,22958.213,24295.592,22043.569,12315.586,14008.467,14910.616,16193.047,19534.475,22737.926,27533.853,24804.245,26121.101,30477.5,27279.694,26156.292,22866.536,23309.666,23409.723,23017.143,18123.293,11361.452,17172.775,11634.082,10495.098,10496.722,4378.576,1145.956,1098.774,7666.107,16225.879,23333.438,18788.375,24114.742,22953.972,15634.3,9567.342,22662.259
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,UN9,Unallocated currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A,All reporting countries,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:UN9:A:5J:A:5A:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13397,14642,15043,15103,16947,18304,19133,21281,19145,14729,14286,13909,4613,8485,11745,12891,12386,11418,13949,10596,10018,8760,9687,8167,7878,8352,9299,7162,6722,7709,8651,5365,11383,14266,15818,15071,19514,17782,17637,19059,19597,18733,21795,17966,16318,18628,18103,18883,19636,25529,20630,20663,20869,18459,23889,22011,22745,21244,20506,22017,23520,20898.856,20919,20626,22859,18976.077,24774.028,25467.502,29634.972,26036.575,20548.043,23045.503,17782.863,20985.539,21839.39,19319.283,7879.625,8665.247,9146.999,10706.271,13121.184,13778.737,14851.195,14352.624,11346.519,15194.024,13397.833,10473.995,6083.243,5599.301,5405.512,4662.118,1973.368,-1172.529,3532.045,-709.285,-1594.088,-1913.632,-9145.153,-18402.619,-19065.277,-10651.24,-4487.45,3620.023,1234.506,5239.966,3992.972,-3425.691,-5448.822,1427.548
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,UN9,Unallocated currencies,U,Unclassified currency,5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A,All reporting countries,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:G:UN9:U:5J:A:5A:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27,-33,-11,-25,-25,-26,-26,-25,-40,-43,-18,-24,-34,-27,-9,-9,-11,-5,-5,-4,-1,,-1,-2,-1,,,,,,,,,,,,,,,,,,,,,,,,-7,,,,1,1,,,0,-1,,0,,-1,-1,,0,-1,1.997,-1.001,-0.001,-1.001,0.997,-1.998,-0.999,1.003,0.003,2.003,1.002,0,-0.998,0,0,0.001,1,0,1.993,-0.001,1.003,0.004,0.007,2.003,1.992,2.003,0.002,0.998,1.002,-0.994,0.001,1.016,1.013,0.002,-1.001,0.005,2.001,-1.006,1.994,1.008,2.001,2.004,1.01,0.002
