Date,Tesla,Nasdaq,GM,DJI,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2012/3/15,-0.822044741,0.514350172,-1.032999699,0.444592659,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2012/3/16,0.914572735,-0.036317592,-1.83759511,-0.151968345,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012/3/19,-0.962767607,0.754763915,-0.702951073,0.049196607,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012/3/20,-0.05703259,-0.1354635,-1.187557266,-0.520729081,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2012/3/21,0.543191443,0.038059301,0.809680945,-0.346008676,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2012/3/22,-2.133715695,-0.390203296,-0.961963392,-0.59796017,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2012/3/23,-0.930088561,0.150163874,0.485653505,0.265135895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012/3/26,9.741637324,1.781337193,1.62960974,1.230053674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012/3/27,1.443852198,-0.071095284,-0.895225127,-0.331530182,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2012/3/28,-0.237216971,-0.493213902,-0.796165282,-0.541911374,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2012/3/29,-1.373581735,-0.309182727,0.627367485,0.149395751,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2012/3/30,-0.241092632,-0.122441332,1.349623307,0.503734267,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012/4/2,-1.772285483,0.909893679,4.343574074,0.396986385,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/3,3.909097992,-0.196493253,-4.578454844,-0.489577813,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/4,-7.919100237,-1.460702666,-1.70743996,-0.945486778,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/5,-0.828429755,0.404486179,-0.958382089,-0.111742098,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2012/4/9,-4.494382022,-1.084888817,-2.659354791,-0.999606436,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/10,-2.081447964,-1.833230503,-2.02094522,-1.652488594,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/11,1.940850277,0.843802863,1.336899861,0.703526993,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/12,1.057570263,1.295889884,1.125078431,1.414951048,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2012/4/13,0.448565264,-1.447202631,-2.049680139,-1.054858169,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/16,-3.989139609,-0.761457562,-1.598370503,0.558928339,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/17,-0.031162791,1.82104136,2.635448981,1.502390219,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/18,1.302731549,-0.373666533,0.473651769,-0.631235923,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
