Date,700.HK,175.HK
2019/10/25,313.386,13.5566
2019/10/28,318.731,14.0349
2019/10/29,313.784,14.2647
2019/10/30,312.988,14.0734
2019/10/31,317.547,14.245
2019/11/1,318.333,14.2065
2019/11/4,324.275,14.532
2019/11/5,329.62,14.6661
2019/11/6,330.605,14.532
2019/11/7,330.217,14.5892
2019/11/8,323.877,14.8574
2019/11/11,319.716,14.456
2019/11/12,326.843,14.532
2019/11/13,324.076,13.9777
2019/11/14,316.551,13.9777
2019/11/15,316.75,14.1306
2019/11/18,326.654,14.7617
2019/11/19,333.183,14.7805
2019/11/20,332.188,14.3978
2019/11/21,326.057,14.3406
2019/11/22,330.217,14.2065
2019/11/25,335.363,14.6079
2019/11/26,332.188,14.8189
2019/11/27,331.6,14.6276
2019/11/28,334.566,14.4166
2019/11/29,328.435,13.9974
2019/12/2,329.62,14.1493
2019/12/3,327.639,14.245
2019/12/4,325.26,14.3209
2019/12/5,326.654,14.5122
2019/12/6,332.188,14.6848
2019/12/9,332.785,14.1878
2019/12/10,333.382,14.2262
2019/12/11,336.547,14.3406
2019/12/12,345.455,14.6848
2019/12/13,357.329,14.7233
2019/12/16,356.145,14.6661
2019/12/17,367.432,14.5704
2019/12/18,373.772,14.3022
2019/12/19,371.781,14.1108
2019/12/20,371.383,13.9777
2019/12/23,373.971,14.1493
2019/12/24,372.976,14.1306
2019/12/27,380.102,14.3978
2019/12/30,379.306,14.6464
2019/12/31,371.781,14.5704
2020/1/2,378.51,14.9146
2020/1/3,379.107,15.0665
2020/1/6,373.573,14.7617
2020/1/7,381.685,14.9906
2020/1/8,378.122,14.8574
2020/1/9,386.034,15.3732
2020/1/10,394.554,15.2963
2020/1/13,402.278,15.6217
2020/1/14,396.326,15.3357
2020/1/15,394.753,15.2203
2020/1/16,395.948,15.1059
2020/1/17,394.952,14.8377
2020/1/20,391.986,14.1878
2020/1/21,381.496,13.4422
2020/1/22,387.03,13.4806
2020/1/23,381.685,13.0023
2020/1/24,381.874,12.8495
2020/1/29,379.306,12.4668
2020/1/30,371.184,11.9698
2020/1/31,369.214,11.9885
2020/2/3,376.141,12.0467
2020/2/4,389,12.1986
2020/2/5,388.224,12.4856
2020/2/6,395.948,12.7923
2020/2/7,398.317,12.9067
2020/2/10,396.525,13.098
2020/2/11,404.846,13.8436
2020/2/12,406.827,14.0734
2020/2/13,412.172,13.958
2020/2/14,410.778,13.8436
2020/2/17,412.371,14.3978
2020/2/18,404.05,14.3978
2020/2/19,407.215,14.3978
2020/2/20,405.841,14.4363
2020/2/21,396.923,14.4363
2020/2/24,386.433,14.1493
2020/2/25,397.52,14.3791
2020/2/26,395.55,14.2065
2020/2/27,395.152,14.0921
2020/2/28,382.073,13.2509
2020/3/2,385.636,13.6325
2020/3/3,389.996,13.4806
2020/3/4,389.996,13.4806
2020/3/5,402.079,13.672
2020/3/6,391.787,13.4609
2020/3/9,373.573,12.8495
2020/3/10,379.107,13.1177
2020/3/11,374.558,12.811
2020/3/12,359.907,12.238
2020/3/13,361.291,12.2942
2020/3/16,338.329,11.4145
2020/3/17,346.252,11.2626
2020/3/18,330.605,10.306
2020/3/19,339.513,9.84741
2020/3/20,355.956,10.4786
2020/3/23,344.47,9.63735
2020/3/24,361.49,10.6689
2020/3/25,376.141,11.453
2020/3/26,377.923,11.1857
2020/3/27,378.51,11.2429
2020/3/30,372.777,10.7843
2020/3/31,376.34,10.9372
2020/4/1,370.597,10.3632
2020/4/2,375.942,10.4017
2020/4/3,372.578,10.4017
2020/4/6,377.534,10.7271
2020/4/7,383.666,10.9559
2020/4/8,381.098,10.6315
2020/4/9,387.428,10.9944
2020/4/14,390.991,10.804
2020/4/15,390.991,10.7084
2020/4/16,402.676,10.5733
2020/4/17,405.443,11.1857
2020/4/20,404.448,11.2054
2020/4/21,396.525,10.7646
2020/4/22,405.244,10.8987
2020/4/23,407.414,10.9756
2020/4/24,402.278,10.9184
2020/4/27,408.807,11.3583
2020/4/28,412.968,11.3583
2020/4/29,412.769,11.5881
2020/5/4,395.948,11.0328
2020/5/5,401.88,11.5486
2020/5/6,405.841,12.027
2020/5/7,403.074,12.0654
2020/5/8,413.953,12.3899
2020/5/11,430.585,12.5053
2020/5/12,426.624,12.3327
2020/5/13,425.24,12.238
2020/5/14,426.225,12.0467
2020/5/15,418.084,11.8741
2020/5/18,419.875,12.1423
2020/5/19,426.823,12.4096
2020/5/20,436.746,12.2942
2020/5/21,430.197,12.1226
2020/5/22,409.355,11.377
2020/5/25,413.525,11.5102
2020/5/26,422.254,11.6838
2020/5/27,416.899,11.5684
2020/5/28,405.184,11.4411
2020/5/29,407.364,10.3474
2020/6/1,425.827,10.6403
2020/6/2,427.221,10.8169
2020/6/3,429.4,11.1877
2020/6/4,431.789,11.2261
2020/6/5,430.993,11.4806
2020/6/8,426.823,11.6759
2020/6/9,430.595,12.1246
2020/6/10,442.907,11.8514
2020/6/11,439.135,11.6946
2020/6/12,437.741,11.7538
2020/6/15,430.396,11.3238
2020/6/16,445.485,11.5388
2020/6/17,447.266,11.6167
2020/6/18,454.612,12.3001
2020/6/19,457.001,12.2222
2020/6/22,470.696,11.9875
2020/6/23,493.728,12.0467
